fichier,titre,auteur,langue,genre,groupe,inclus,raison_exclusion,dossier
En_finir_avec_Eddy_Bellegueule_French_Edition_-_Edouard_Luis.epub,En finir avec Eddy Bellegueule,Edouard Luis,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
Le_village_sendort_French_Edition_-_Elodie_Faiderbe.epub,Le village sendort,Elodie Faiderbe,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
The_Last_Royal_Dragon_The_Chained_Crown_-_Emilia_Langford.epub,The Last Royal Dragon The Chained Crown,Emilia Langford,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
De_silence_et_dombre_French_Edition_-_Erin_Beaty.epub,De silence et dombre,Erin Beaty,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
Ce_quils_disent_ou_rien_French_Edition_-_Ernaux_Annie.pdf,Ce quils disent ou rien,Ernaux Annie,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
Le_vieil_homme_et_la_mer_French_Edition_-_Ernest_Hemingway.pdf,Le vieil homme et la mer,Ernest Hemingway,FR,upmarket,FR-UNCLASSIFIED,OUI,,racine
Coeur_simple_French_Edition_-_Flaubert_Gustave.pdf,Coeur simple,Flaubert Gustave,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
Ma_gloire_French_Edition_-_Florent_Oiseau.epub,Ma gloire,Florent Oiseau,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
Les_Marius_French_Edition_-_HUGO_Victor.epub,Les Marius,HUGO Victor,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
La_Grande_Chute_French_Edition_-_Handke_Peter.pdf,La Grande Chute,Handke Peter,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
Le_soleil_se_leve_aussi_French_Edition_-_Hemingway_Ernest.pdf,Le soleil se leve aussi,Hemingway Ernest,FR,classic,FR-UNCLASSIFIED,OUI,,racine
Les_Vestiges_du_Jour_French_Edition_-_Ishiguro_Kazuo.pdf,Les Vestiges du Jour,Ishiguro Kazuo,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
Un_crime_parfait_French_Edition_-_JEFFEREY_ARCHER.epub,Un crime parfait,JEFFEREY ARCHER,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
La_haine_de_la_democratie_French_Edition_-_Jacques_Ranciere.epub,La haine de la democratie,Jacques Ranciere,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
Des_Souris_et_Des_hommes_French_Edition_-_John_Steinbeck.pdf,Des Souris et Des hommes,John Steinbeck,FR,upmarket,FR-UNCLASSIFIED,OUI,,racine
Si_tu_traverses_les_eaux_French_Edition_-_Justine_Bo.epub,Si tu traverses les eaux,Justine Bo,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
Le_jardin_de_Rose_French_Edition_-_Karine_Jette.epub,Le jardin de Rose,Karine Jette,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
The_Awakening_and_Selected_Short_Fiction_-_Kate_Chopin.pdf,The Awakening and Selected Short Fiction,Kate Chopin,FR,upmarket,FR-UNCLASSIFIED,OUI,,racine
Helena_Tome_2_Les_bonheurs_vacillants_French_Edition_-_Katherine_Girard.epub,Helena Tome 2 Les bonheurs vacillants,Katherine Girard,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
Les_reves_pieges_French_Edition_-_Katherine_Girard.epub,Les reves pieges,Katherine Girard,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
"Carrère, Emmanuel - L'Adversaire.pdf","Carrère, Emmanuel",L'Adversaire,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
Le_Pacte_de_sang_French_Edition_-_Laura_S_Wild.epub,Le Pacte de sang,Laura S Wild,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
Ourania_French_Edition_-_Le_Clezio_J_M_G.pdf,Ourania,Le Clezio J M G,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
The_Descendant_-_Linda_Stasi.epub,The Descendant,Linda Stasi,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
BHEA_Phase_1__Pandemie_French_Edition_-_Lisa_NK.epub,BHEA Phase 1 Pandemie,Lisa NK,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
Les_projectiles_French_Edition_-_Louise_Rose.epub,Les projectiles,Louise Rose,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
The_never_list_-_MK_Lewis.epub,The never list,MK Lewis,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
A_bout_portant_French_Edition_-_MadieLie_V.pdf,A bout portant,MadieLie V,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
Ton_cadavre_exquis_French_Edition_-_Marion_Quentin.epub,Ton cadavre exquis,Marion Quentin,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
Watch_Them_Fall_-_Marion_Todd.epub,Watch Them Fall,Marion Todd,FR,thriller,FR-UNCLASSIFIED,OUI,,racine
Dans_lenfer_de_lorphelina_French_Edition_-_Michael_Clemenger.epub,Dans lenfer de lorphelina,Michael Clemenger,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
Bustin_-_Minda_Webber.pdf,Bustin,Minda Webber,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
Morgane_reine_des_brumes_French_Edition_-_Mireille_Calmel.epub,Morgane reine des brumes,Mireille Calmel,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
Dora_Bruder_-_Modiano_Patrick.pdf,Dora Bruder,Modiano Patrick,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
Quartier_Perdu_French_Edition_-_Modiano_Patrick.pdf,Quartier Perdu,Modiano Patrick,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
Lettres_damour_de_kamakura_French_Edition_-_Ogawa_ito.epub,Lettres damour de kamakura,Ogawa ito,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
Jetais_un_autre_et_vous_ne_le_saviez_pas_French_Edition_-_Olivier_mas.epub,Jetais un autre et vous ne le saviez pas,Olivier mas,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
The_Woman_and_her_Stars_-_Penny_Haw.epub,The Woman and her Stars,Penny Haw,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
Le_salon_du_Wurtemberg_French_Edition_-_Quignard_Pascal.pdf,Le salon du Wurtemberg,Quignard Pascal,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
Juste_un_ete_French_Edition_-_Radclyffe.epub,Juste un ete,Radclyffe,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
Double_Bluff_French_Edition_-_Ruby_Vincent.epub,Double Bluff,Ruby Vincent,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
Le_planetarium_French_Edition_-_Sarraute_Nathalie.pdf,Le planetarium,Sarraute Nathalie,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
